rest name,rest add,rest open,rest type,rest rank,reviews num,Food rank,Service rank,atmosphere rank,price rank,None,Bar restaurant,Animal friendly,Possibility of sitting outside,Restaurant with free parking,A restaurant with regulated parking,Shipments,Take Away,Catering services,Chef to the house,Outdoor garden,dog friendly,Wi-fi,Country restaurant,Kosher restaurant,Accessibility for the disabled,Events up to 50 people,Family day,Restaurant for events and conferences,Team building days,fun days,meetings,Open on Friday,Sylvester,Table reservation service,Small events,Food ready to sit/take away,Boutique events,A strictly kosher restaurant,Bar/Bat Mitzvah,alliance,Open on Sundays,Events up to 30 people,Chef restaurant,"Sukkot, Tabernacles",weddings,birthdays,wedding anniversaries,Seminars,conventions,Company parties,Department Arabs,cocktail,A place for events,private room,Events up to 150 people,Tapas bar,Shabbat observant business,Restaurant with meat shop,Projector and screen,live shows,Access to public transportation,Tutorials/workshops,conference rooms,Location for photography,amplification equipment,Events up to 300 people,press conferences,Bachelor/bachelorette parties,Exhibitions,Fashion shows,Smoking area,Events up to 200 people,Night Life,Events up to 100 people,Open on Passover,"Arrangements for businesses, institutions and factories",with a sukkah,A restaurant with a wine cellar,Open on Saturday,Restaurants on the sea,sports bar,A restaurant with discounts for students,A restaurant in nature,burger club,fast food,Neighborhood bar/pub,Irish pub,Crazy Sunday,city,rest addres
"הקצב הירוק, תל אביב","בן יהודה 98, תל אביב",No Info,Vegetarian restaurant,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, תל אביב,בן יהודה 98
"ג'אפו - japo, מתחם הבורסה, רמת גן","תובל 19, מתחם הבורסה, רמת גן",No Info,Asian restaurant,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," מתחם הבורסה, רמת גן",תובל 19
"קפה ניצה, נתניה","שד' ניצה 8, נתניה",No Info,coffee shop,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, נתניה,שד' ניצה 8
"ג'אסט מיט  - JUST MEAT, ירושלים","מרדכי בן הלל 15, ירושלים",No Info,A steakhouse,5.0,4,5.0,5.0,5.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ירושלים,מרדכי בן הלל 15
"הפיצה של ג׳ולייטה, קדימה","בן צבי 81, קדימה",No Info,A pizzeria,5.0,2,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, קדימה,בן צבי 81
"וופל בר, מודיעין והסביבה","שד' מנחם בגין 21, מודיעין והסביבה",No Info,a dairy restaurant,5.0,3,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, מודיעין והסביבה,שד' מנחם בגין 21
"פוקי בר, ראשון לציון","מזל אליעזר 13, ראשון לציון",No Info,Asian restaurant,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ראשון לציון,מזל אליעזר 13
"EggZit, חולון","סוקולוב נחום 62, חולון",No Info,ice cream parlor,5.0,2,5.0,5.0,5.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, חולון,סוקולוב נחום 62
"לאנץ' בוקס - lunch box, ב.ס.ר 3, בני ברק","מצדה (כנרת) 5, פרדס כץ, בני ברק",No Info,A steakhouse,5.0,2,5.0,5.0,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," פרדס כץ, בני ברק",מצדה (כנרת) 5
"חומוס ופלאפל חתוכה, רמת גן","ברוריה 5, מתחם הבורסה, רמת גן",No Info,Oriental restaurant,5.0,2,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," מתחם הבורסה, רמת גן",ברוריה 5
"מאפה נאמן, קניון הסיטי","שד' מנחם בגין 1, מרכז צימר אשדוד",No Info,Confectionery-Mafia,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, מרכז צימר אשדוד,שד' מנחם בגין 1
"פור סי - 4SEA kitchen & sushi bar, מלון דניאל","רמת ים 60, הרצליה פיתוח",No Info,Asian restaurant,5.0,16,5.0,5.0,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, הרצליה פיתוח,רמת ים 60
"מסעדת מיוחס, ירושלים","המלך ג'ורג' 41, ירושלים",No Info,A steakhouse,5.0,2,5.0,5.0,4.5,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ירושלים,המלך ג'ורג' 41
"סשימי סושי- בית שמש, בית שמש","שד' יגאל אלון 24, בית שמש",No Info,Japanese restaurant,5.0,1,5.0,5.0,5.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, בית שמש,שד' יגאל אלון 24
"ארומה - אספרסו בר, קניון עזיראלי, קרית אתא","העצמאות 37, קרית אתא, חיפה והקריות",No Info,coffee shop,5.0,3,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," קרית אתא, חיפה והקריות",העצמאות 37
"פיצה זיגי מאשרום, כפר סבא","ירושלים 52, כפר סבא",No Info,A pizzeria,5.0,3,5.0,4.5,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, כפר סבא,ירושלים 52
"קפה פנקס, קריית אונו","פנקס 24, קריית אונו",No Info,coffee shop,5.0,2,5.0,5.0,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, קריית אונו,פנקס 24
"פיצה כמעט חינם, באר שבע","שד' יוהנה ז'בוטינסקי 15, באר שבע",No Info,A pizzeria,5.0,1,4.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, באר שבע,שד' יוהנה ז'בוטינסקי 15
"METRO BURGER  מטרו בורגר - METRO BURGER, תל אביב","מקוה ישראל 2, תל אביב",No Info,Hamburger restaurant,5.0,1,5.0,5.0,4.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, תל אביב,מקוה ישראל 2
"פלאפלנד, רמת גן","ביאליק 77, רמת גן",No Info,Hummus,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, רמת גן,ביאליק 77
"ג'וני קריספי, מבשרת ציון","החוצבים 10, מבשרת ציון",No Info,sandwich bar,5.0,3,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, מבשרת ציון,החוצבים 10
"פיצה סטאר , פתח תקווה","פפר יוסף 9, פתח תקווה",No Info,A pizzeria,5.0,10,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, פתח תקווה,פפר יוסף 9
"מירי מסעדת גריל, נצרת עילית (נוף הגליל)","הפריון 7, נצרת עילית (נוף הגליל), גליל תחתון",No Info,Home kitchen,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," נצרת עילית (נוף הגליל), גליל תחתון",הפריון 7
"ג'פניקה אריאל, אריאל","מוריה 2, אריאל",No Info,Asian restaurant,5.0,2,5.0,5.0,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, אריאל,מוריה 2
"ד""ר פיצה, ראשון לציון","מורדי הגטאות 42, שיכון המזרח, ראשון לציון",No Info,A pizzeria,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," שיכון המזרח, ראשון לציון",מורדי הגטאות 42
"שיפודי אל הנגב, מרכז אורן א'/51, באר שבע","שד' יצחק רגר 23, באר שבע",No Info,Oriental restaurant,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, באר שבע,שד' יצחק רגר 23
"קפה תמרה, הגן הטכנולוגי מלחה, ירושלים","אגודת ספורט הפועל 1, ירושלים",No Info,coffee shop,5.0,30,5.0,5.0,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ירושלים,אגודת ספורט הפועל 1
"פיצה - בלה, נשר","האלון 33, רמות יצחק, נשר, חיפה והקריות",No Info,A pizzeria,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," רמות יצחק, נשר, חיפה והקריות",האלון 33
"פיצה פצץ, צור הדסה","רכסים 15, צור הדסה",No Info,A pizzeria,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, צור הדסה,רכסים 15
שווארמה דוידי,"שד' אבא אבן 12, הרצליה פיתוח",No Info,A steakhouse,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, הרצליה פיתוח,שד' אבא אבן 12
"מיסטר גרין - mr green, ירושלים","יפו 38, ירושלים",No Info,a dairy restaurant,5.0,1,5.0,4.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ירושלים,יפו 38
"cofix, אשדוד","גור דב 29, אשדוד",No Info,coffee shop,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, אשדוד,גור דב 29
"פיצה במקום, מרכז מסחרי, ערד","חן 29, ערד",No Info,A pizzeria,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ערד,חן 29
"רד מיט, תל אביב","בוגרשוב 9, תל אביב",No Info,South American restaurant,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, תל אביב,בוגרשוב 9
"בורגרס בר - Burgers Bar, קניון עזריאלי, קומה 2, תל אביב","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",No Info,Hamburger restaurant,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," קניון עזריאלי, תל אביב",דרך מנחם בגין 132
"הפיצה ביסטרו ירושלים - the pizza, ירושלים","שאולזון 51, ירושלים",No Info,A pizzeria,5.0,2,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ירושלים,שאולזון 51
"הו מאמא - oh mama, תל אביב","בן יהודה 69, תל אביב",No Info,A steakhouse,5.0,2,4.5,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, תל אביב,בן יהודה 69
"בן יהודה 2, ת.ד - 23335, ירושלים","בן יהודה 2, ירושלים",No Info,A pizzeria,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ירושלים,בן יהודה 2
"פיצה כמעט חינם, שדרות","דרך מנחם בגין 4, שדרות",No Info,A pizzeria,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, שדרות,דרך מנחם בגין 4
"פיצה זברה, בת ים","מבצע סיני 16, בת ים",No Info,A pizzeria,5.0,11,5.0,5.0,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, בת ים,מבצע סיני 16
"טעמים, כפר סבא","התע""ש 16, כפר סבא",No Info,A steakhouse,5.0,3,5.0,5.0,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, כפר סבא,"התע""ש 16"
"רובן - Ruben, אשדוד","ז'בוטינסקי 43, סטאר סנטר, אשדוד",No Info,Hamburger restaurant,5.0,2,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," סטאר סנטר, אשדוד",ז'בוטינסקי 43
"הרצוג - Hertzog, תל אביב","אבן גבירול 48, תל אביב",No Info,A vegan restaurant,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, תל אביב,אבן גבירול 48
"Ben's, כפר סבא","גלגלי הפלדה 5, כפר סבא",No Info,Home kitchen,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, כפר סבא,גלגלי הפלדה 5
"בטעם של קובי, אזור תעשיה, אילת","החרש 11, אילת, הערבה",No Info,A steakhouse,5.0,2,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," אילת, הערבה",החרש 11
"בייקריה, תל אביב","איינשטיין 10, תל אביב",No Info,A steakhouse,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, תל אביב,איינשטיין 10
"לחם ברויטמן, אילת","האלמוגים 17, אילת, הערבה",No Info,Confectionery-Mafia,5.0,1,5.0,5.0,5.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," אילת, הערבה",האלמוגים 17
ברביקיו - BAR B QUE,"המנופים 8, הרצליה פיתוח",No Info,A steakhouse,5.0,3,5.0,5.0,4.5,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, הרצליה פיתוח,המנופים 8
"פיצה רונדו, פתח תקווה","יצחק שדה 34, פתח תקווה",No Info,A pizzeria,5.0,2,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, פתח תקווה,יצחק שדה 34
"החומוס של טחינה, שדרות","הרצל 51, שדרות",No Info,Hummus,5.0,1,5.0,5.0,4.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, שדרות,הרצל 51
"קראנץ' פיצה, טירת כרמל","אצ""ל 36, טירת כרמל, הכרמל והסביבה",No Info,A pizzeria,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," טירת כרמל, הכרמל והסביבה","אצ""ל 36"
"החומוסיה של חביבו, חדרה","הגדוד העברי 1, גבעת אולגה, חדרה",No Info,Hummus,5.0,3,5.0,5.0,4.5,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," גבעת אולגה, חדרה",הגדוד העברי 1
"LUIGI קפה סיגל, באר שבע","ביאליק 5, באר שבע",No Info,A pizzeria,5.0,1,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, באר שבע,ביאליק 5
